Familia;Proveedor;Codigo;Descripcion;Costo nuevo SIN IVA;Costo viejo SIN IVA;Costo viejo con IVA;Precio;Coef viejo
TELAS;ALHAMBRA;AL09-132;TELA ART 1418 KANPUR 1.50;;14659;17737,39;34600;2,360324715
TELAS;ALHAMBRA;AL09-133;TELA ART 14XX MINORI 1.50;;12655;15312,55;29860;2,359541683
TELAS;ALHAMBRA;AL09-134;TELA ART 1438 LUMA 1.50;;11675;14126,75;27560;2,360599572
TELAS;ALHAMBRA;AL09-135;TELA ART 1441 LUCHI LISO 2.80;;9969;12062,49;23600;2,36733875
TELAS;ALHAMBRA;AL09-136;TELA ART 1445 AZUMI RAYA 2.80;;9969;12062,49;23600;2,36733875
TELAS;ALHAMBRA;AL09-137;TELA ART 1450 GREICY 1.50;;9075;10980,75;21440;2,362534435
TELAS;ALHAMBRA;AL09-138;TELA ART 1452 NINAV 1.50;;13569;16418,49;32100;2,365686491
TELAS;ALHAMBRA;AL09-139;TELA ART 1460 SURAT 1.50;;11635;14078,35;27460;2,360120327
TELAS;ALHAMBRA;AL09-140;TELA ART 1478 MARSALA DOBLE FAZ 2.80;;15696;18992,16;37100;2,363659531
TELAS;ALHAMBRA;AL09-141;TELA ART 3375   RAMPUR   2.85;;26409;31954,89;62320;2,359801583
TELAS;ALHAMBRA;AL09-142;TELA ART 3400 SHEEP 1.30;;17140;20739,4;40420;2,358226371
TELAS;ALHAMBRA;AL09-143;TELA ART 3545  SIEMBRA  1.30;;10489;12691,69;24760;2,360568214
TELAS;ALHAMBRA;AL09-144;TELA ART 3546   TABA   1.30;;12978;15703,38;30620;2,359377408
TELAS;ALHAMBRA;AL09-145;TELA ART 3549   CIRILO   1.30;;11954;14464,34;28200;2,359042998
TELAS;ALHAMBRA;AL09-146;TELA ART 3551   CEIBO   1.30;;13855;16764,55;32690;2,359437026
TELAS;ALHAMBRA;AL09-147;TELA ART 3553   RED   1.30;;12319;14905,99;29060;2,358957708
TELAS;ALHAMBRA;AL09-148;TELA ART 3663   CALVIN   1.30;;10303;12466,63;24300;2,358536349
TELAS;ALHAMBRA;AL09-149;TELA ART 3735   PHILIPPA   2.65;;15988;19345,48;37720;2,359269452
TELAS;ALHAMBRA;AL09-150;TELA ART 3740   AIREADO   2.80;;17211;20825,31;40620;2,360118529
TELAS;ALHAMBRA;AL09-151;TELA ART 466 BORDADO VALENTINA XL VOILE 3.00;;8194;9914,74;19400;2,367586039
